,post_id,owner_id,comment_id,from_id,text,reply_to_user,reply_to_comment,parents_stack,num_answer,date
0,671,10003,672,2303713,это ты про Аню так?)),,,[],0,1466667023
1,671,10003,673,10003,аха ха,,,[],0,1466667715
2,625,10003,626,48059,😆 👍,,,[],0,1423339051
3,558,10003,559,10003,Ваще качает.....чувак Агонь!,,,[],0,1394687700
4,558,10003,560,74512,"Бля, слушаю, на репите, уже второй день. Когда альбом у этих парней ?",,,[],0,1395306501
5,558,10003,561,10003,сам жду...хочу на их концерт!,,,[],0,1395414802
6,558,10003,562,54779,могу скинуть ссылку на их группу),,,[],0,1395415957
7,558,10003,563,54779,http://vk.com/3pacana,,,[],0,1395416026
8,558,10003,564,74512,"Блеск. Никсан, можешь у них поучиться.",,,[],0,1396082275
9,558,10003,565,10003,"Ай, да что уж там. И тебе не мешало бы!",,,[],0,1396082563
10,558,10003,566,726757,=),,,[],0,1396425240
11,558,10003,567,74512,"Ну вокалу можно, да.",,,[],0,1396609881
12,534,10003,535,20226703,Никс надо мутить с ней.,,,[],0,1384623650
13,534,10003,536,10003,да хз =) хочешь сам мути =),,,[],0,1384625580
14,534,10003,537,20226703,"не спасибо,я ей не интересен,она запала на твою жопу",,,[],0,1384627377
15,534,10003,538,10003,ну возможно-возможно.....даже векроятно,,,[],0,1384628416
16,534,10003,540,726757,хаха она мне тоже писала)))))),,,[],0,1384977137
17,534,10003,542,74512,"Годна баба, Никсан. Шоколад с молоком. Бери, чо.",,,[],0,1385658531
18,513,10003,514,180185731,этот оладух думал что это песня Alien Ant Farm?)))),,,[],0,1357343831
19,513,10003,515,1631403,типо того. И еще рьяно пытались меня переубедить!,,,[],0,1357373026
20,489,10003,490,20226703,Ебать как глубоко,,,[],0,1353727922
21,484,10003,485,10003,Ого гопнички =)) где это вы так покатались? ещё нибусь аку слушали =),,,[],0,1352239493
22,484,10003,486,621922,"че ты,че ты паришься !?",,,[],0,1352276948
23,478,10003,479,180185731,хахахахахах,,,[],0,1351356910
24,465,10003,466,48059,Машину взял?,,,[],0,1351107668
25,465,10003,467,10003,Почти почти =)) скоро буду давить всех,,,[],0,1351107747
26,465,10003,468,48059,Что будешь брать?,,,[],0,1351107970
27,465,10003,469,10003,"А у отца его Пежо выкуплю на первое время....поучиться, летом поинтереснее чего нибудь возьму =)",48059.0,466.0,[],0,1351108067
28,465,10003,470,48059,"[id10003|Никита], молодец! Успехов!",10003.0,469.0,[],0,1351108249
29,465,10003,471,10003,"=)) Спасибо Дим, как возьму отпишусь погоняем",48059.0,470.0,[],0,1351109001
30,465,10003,472,48059,"[id10003|Никита], да, давай! С удовольствием!",10003.0,471.0,[],0,1351109022
31,443,10003,444,48059,Где?,,,[],0,1349034786
32,443,10003,445,10003,центральная станция. ломоносова д.1 =),,,[],0,1349035261
33,443,10003,447,48059,"Не, я не в курсе)",,,[],0,1349037389
34,443,10003,450,1631403,пиарщик хренов,,,[],0,1349335227
35,439,10003,440,10003,Аха-ха....клип пипец....японцы....эхх.,,,[],0,1348690980
36,439,10003,441,20226703,"[id10003|Никита], это корейцы",10003.0,440.0,[],0,1348690995
37,439,10003,442,10003,оу оу. жуть! всё теперь мне клип не нравиться я думал это японки.....а это корейки иууу!,,,[],0,1348691109
38,432,10003,433,20226703,Щлюха,,,[],0,1347792031
39,432,10003,434,48059,Ты уже второй человек на этой неделе!,,,[],0,1347821014
40,420,10003,421,10003,Охренеть.....я плачу,,,[],0,1346615293
41,413,10003,414,10003,Xa-xa so funny. Bonus this video it big ass =))),,,[],0,1345669434
42,410,10003,411,10003,OMG it's real shit. So much pathos.,,,[],0,1345669090
43,410,10003,412,20226703,"[id10003|Никита], еее",10003.0,411.0,[],0,1345669127
44,407,10003,408,10003,вялый генгста шит........,,,[],0,1345667218
45,407,10003,409,20226703,"[id10003|Никита], ну ты пиздец ,щас так качественно мало кто ваще делае",10003.0,408.0,[],0,1345668675
